purchase_seasonal_weight,redeem_seasonal_weight,median_tuning_cubic_score,worst_tuning_cubic_score,mean_tuning_cubic_score,mean_tuning_weighted_mape,over_30pct_target_days,baseline_over_30pct_target_days,better_folds,median_relative_improvement,worst_fold_relative_change,passes_entry_gate
1.0,0.0,2.0494469175073826,1.0557116394105173,1.6953306858527906,0.2841701073180014,104,97,2,0.32464605352593323,-0.19728508609287088,False
1.0,0.25,1.8704570418585067,1.2970381322025477,1.7169188355920717,0.2724752823104903,104,97,3,0.20895716674678733,-0.17055070147226048,False
0.75,0.0,1.7265554653434994,1.1801983988457947,1.750212971732077,0.3027093655650609,109,97,3,0.11594736307809694,-0.08531159790886589,False
0.5,0.0,1.7211043736850287,0.9388915609370393,1.719435960217785,0.3251004758184508,119,97,2,0.11242408711953567,-0.16974427307262274,False
0.75,0.75,1.6535677283455925,1.1335779856496668,1.7237794505135273,0.27959675250027954,106,97,3,0.06877223648947783,-0.2673195913358908,False
1.0,0.5,1.6491896921881484,1.4669208755565581,1.7269575834128812,0.26452598174941566,100,97,3,0.06594252264394629,-0.14285985608316243,False
0.0,0.75,1.643104658412626,0.861547912999936,1.5084927692059087,0.3542277559576574,124,97,1,0.06200950251668136,-0.3666481464745057,False
0.25,0.0,1.626749314909884,0.7903872365511304,1.5973422592556439,0.3505845639925821,120,97,2,0.05143833766244943,-0.30106568538974754,False
0.5,0.75,1.6181813565872054,1.0957354134179298,1.6930024389992355,0.3019878627536695,116,97,3,0.04590049616874792,-0.27084286729445206,False
0.25,0.75,1.608884171396072,0.9472310890320208,1.570908738037094,0.3274719509278007,117,97,1,0.03989132385638894,-0.33182861675153796,False
0.75,0.5,1.5914076349918358,1.321461787572121,1.7818398692921675,0.28306523999647515,105,97,2,0.028595483608264916,-0.14588217589859598,False
0.0,0.5,1.577286969063104,1.1159132966650867,1.5665531879845491,0.35769624345385304,123,97,1,0.019468687380528316,-0.24521073103721103,False
0.0,0.0,1.5728777333882804,0.7047040605190458,1.5349262904244587,0.3773403690224387,127,97,2,0.016618807939481783,-0.3768347630572113,False
1.0,0.75,1.5718476127627103,1.2125554918914077,1.6688971646342412,0.26105749425322,101,97,2,0.015952996490714577,-0.1147604337523691,False
0.5,0.5,1.5523636672376837,1.31601069591365,1.7510628577778757,0.30545635024986506,115,97,4,0.0033596810325950965,-0.1494054518571576,False
1.0,1.0,1.54716568403475,1.130846232656176,1.721026632384285,0.260418045298372,97,97,0,0.0,0.0,False
0.25,0.5,1.5430664820465496,1.2015964726971715,1.628969156815734,0.33094043842399634,116,97,2,-0.0026494912797642156,-0.21039120131424327,False
0.75,0.25,1.5427291372424787,1.410526342100406,1.7718011214713578,0.29101454055754983,109,97,2,-0.0028675317957553847,-0.03293281421161143,False
0.75,1.0,1.5402809713630248,1.2194377794187223,1.7759089182635717,0.27895730354543147,102,97,4,-0.004449887134111652,-0.2118246985425427,False
0.5,0.25,1.5372780455840078,1.1802180537290698,1.7410241099570658,0.3134056508109398,119,97,2,-0.006390807754316885,-0.057193969732242445,False
0.0,1.0,1.5298179014300584,0.7798386537647044,1.5606222369559528,0.3535883070028093,120,97,2,-0.011212621106907905,-0.31115325368115754,False
0.5,1.0,1.5048945996046377,1.014026154182698,1.7451319067492796,0.3013484137988214,112,97,3,-0.027321627454841457,-0.2153479745011041,False
0.25,1.0,1.4955974144135042,0.8655218297967892,1.6230382057871382,0.32683250197295266,113,97,3,-0.033330799767200325,-0.2763337239581898,False
0.25,0.25,1.4429229868088638,1.031713729343161,1.6189304089949244,0.338889738985071,120,97,1,-0.06737655721140268,-0.1193254888331946,False
0.0,0.25,1.40006327216744,0.9460305533110763,1.556514440163739,0.36564554401492766,127,97,0,-0.09507864179335435,-0.16343130834949793,False
