window_id,role,model,days,purchase_mape,redeem_mape,weighted_mape,purchase_over_30pct_days,redeem_over_30pct_days,linear_score,quadratic_score,cubic_score
rolling_2014_03,tuning,seasonal_baseline,30,0.36825082650721286,0.24444208223339803,0.3001560171566147,16,11,3.0115121546707475,2.0473085381621376,1.54716568403475
rolling_2014_03,tuning,selected_ensemble,30,0.36825082650721286,0.24444208223339803,0.3001560171566147,16,11,3.0115121546707475,2.0473085381621376,1.54716568403475
rolling_2014_04,tuning,seasonal_baseline,30,0.28804194451476633,0.3561300542349831,0.32549040486088554,11,15,2.418157395607562,1.5323348638452106,1.130846232656176
rolling_2014_04,tuning,selected_ensemble,30,0.28804194451476633,0.3561300542349831,0.32549040486088554,11,15,2.418157395607562,1.5323348638452106,1.130846232656176
rolling_2014_05,tuning,seasonal_baseline,30,0.19594188796267048,0.1894646786224747,0.1923794228255628,4,4,5.132665073881068,3.4875653781460234,2.5722742703171986
rolling_2014_05,tuning,selected_ensemble,30,0.19594188796267048,0.1894646786224747,0.1923794228255628,4,4,5.132665073881068,3.4875653781460234,2.5722742703171986
rolling_2014_06,tuning,seasonal_baseline,30,0.19433686495329502,0.29473480802112245,0.24955573364060013,7,14,3.514915251422954,2.4644871844793466,1.8962861191331595
rolling_2014_06,tuning,selected_ensemble,30,0.19433686495329502,0.29473480802112245,0.24955573364060013,7,14,3.514915251422954,2.4644871844793466,1.8962861191331595
rolling_2014_07,tuning,seasonal_baseline,30,0.20244822682259453,0.2607399017055074,0.23450864800819665,4,11,3.4919483944768896,2.116797584632196,1.4585608557801424
rolling_2014_07,tuning,selected_ensemble,30,0.20244822682259453,0.2607399017055074,0.23450864800819665,4,11,3.4919483944768896,2.116797584632196,1.4585608557801424
holdout_2014_08,quasi_holdout,seasonal_baseline,30,0.10750507476433861,0.2204564915153206,0.16962835397737872,3,12,5.178539661866333,4.111895115122405,3.4231524969552707
holdout_2014_08,quasi_holdout,selected_ensemble,30,0.10750507476433861,0.2204564915153206,0.16962835397737872,3,12,5.178539661866333,4.111895115122405,3.4231524969552707
backtest_2013_09,stress,seasonal_baseline,30,0.3590168375847619,0.46025075921136377,0.4146954944793929,16,20,1.9946364955617752,1.370749646949652,1.0601601765393698
